did,column_name,column_description
23752,nameNullable,global
23752,descriptionNullable,A country is a region that is identified as a distinct national entity in political geography.
23752,fullPathNullable,geography and places > global
23752,ref,global
23752,name,global
23752,hasName,True
23752,description,A country is a region that is identified as a distinct national entity in political geography.
23752,hasDescription,True
23752,fullPath,geography and places > global
23752,hasFullPath,True
23752,competitionCount,0
23752,datasetCount,708
23752,scriptCount,232
23752,totalCount,940
23752,nameNullable,categorical
23752,descriptionNullable,"Categorical data are observations that fall into discrete categories, like dog breed, dog color or whether or not a dog likes chew toys."
23752,fullPathNullable,data type > categorical
23752,ref,categorical
23752,name,categorical
23752,hasName,True
23752,description,"Categorical data are observations that fall into discrete categories, like dog breed, dog color or whether or not a dog likes chew toys."
23752,hasDescription,True
23752,fullPath,data type > categorical
23752,hasFullPath,True
23752,competitionCount,0
23752,datasetCount,1415
23752,scriptCount,1905
23752,totalCount,3320
23752,nameNullable,social science
23752,descriptionNullable,Social science is the collection of disciplines studying how humans interact with each other.
23752,fullPathNullable,subject > people and society > social science
23752,ref,social science
23752,name,social science
23752,hasName,True
23752,description,Social science is the collection of disciplines studying how humans interact with each other.
23752,hasDescription,True
23752,fullPath,subject > people and society > social science
23752,hasFullPath,True
23752,competitionCount,0
23752,datasetCount,5415
23752,scriptCount,743
23752,totalCount,6158
1380016,nameNullable,global
1380016,descriptionNullable,A country is a region that is identified as a distinct national entity in political geography.
1380016,fullPathNullable,geography and places > global
1380016,ref,global
1380016,name,global
1380016,hasName,True
1380016,description,A country is a region that is identified as a distinct national entity in political geography.
1380016,hasDescription,True
1380016,fullPath,geography and places > global
1380016,hasFullPath,True
1380016,competitionCount,0
1380016,datasetCount,708
1380016,scriptCount,232
1380016,totalCount,940
1380016,nameNullable,health
1380016,descriptionNullable,Consider the health tag your data science gym. Get in there and work out those data science muscles on health analytics. Analyze heart disease until you sweat. Then recover with with a nice candy production dataset.
1380016,fullPathNullable,subject > health and fitness > health
1380016,ref,health
1380016,name,health
1380016,hasName,True
1380016,description,Consider the health tag your data science gym. Get in there and work out those data science muscles on health analytics. Analyze heart disease until you sweat. Then recover with with a nice candy production dataset.
1380016,hasDescription,True
1380016,fullPath,subject > health and fitness > health
1380016,hasFullPath,True
1380016,competitionCount,7
1380016,datasetCount,8876
1380016,scriptCount,7539
1380016,totalCount,16422
1380016,nameNullable,social science
1380016,descriptionNullable,Social science is the collection of disciplines studying how humans interact with each other.
1380016,fullPathNullable,subject > people and society > social science
1380016,ref,social science
1380016,name,social science
1380016,hasName,True
1380016,description,Social science is the collection of disciplines studying how humans interact with each other.
1380016,hasDescription,True
1380016,fullPath,subject > people and society > social science
1380016,hasFullPath,True
1380016,competitionCount,0
1380016,datasetCount,5415
1380016,scriptCount,743
1380016,totalCount,6158
1380016,nameNullable,beginner
1380016,descriptionNullable,"New to data science? Explore tips, tricks, and beginner friendly work from other Kagglers."
1380016,fullPathNullable,audience > beginner
1380016,ref,beginner
1380016,name,beginner
1380016,hasName,True
1380016,description,"New to data science? Explore tips, tricks, and beginner friendly work from other Kagglers."
1380016,hasDescription,True
1380016,fullPath,audience > beginner
1380016,hasFullPath,True
1380016,competitionCount,5093
1380016,datasetCount,4562
1380016,scriptCount,36794
1380016,totalCount,46449
1380016,nameNullable,matplotlib
1380016,descriptionNullable,
1380016,fullPathNullable,packages > matplotlib
1380016,ref,matplotlib
1380016,name,matplotlib
1380016,hasName,True
1380016,description,
1380016,hasDescription,True
1380016,fullPath,packages > matplotlib
1380016,hasFullPath,True
1380016,competitionCount,0
1380016,datasetCount,241
1380016,scriptCount,64012
1380016,totalCount,64253
1865113,nameNullable,movies and tv shows
1865113,descriptionNullable,Grab a bucket of popcorn and come analyze these movie ratings. The world must know which blockbuster film is the blockbuster film of all time!
1865113,fullPathNullable,subject > arts and entertainment > movies and tv shows
1865113,ref,movies and tv shows
1865113,name,movies and tv shows
1865113,hasName,True
1865113,description,Grab a bucket of popcorn and come analyze these movie ratings. The world must know which blockbuster film is the blockbuster film of all time!
1865113,hasDescription,True
1865113,fullPath,subject > arts and entertainment > movies and tv shows
1865113,hasFullPath,True
1865113,competitionCount,3
1865113,datasetCount,8816
1865113,scriptCount,2023
1865113,totalCount,10842
1865113,nameNullable,exploratory data analysis
1865113,descriptionNullable,
1865113,fullPathNullable,technique > exploratory data analysis
1865113,ref,exploratory data analysis
1865113,name,exploratory data analysis
1865113,hasName,True
1865113,description,
1865113,hasDescription,False
1865113,fullPath,technique > exploratory data analysis
1865113,hasFullPath,True
1865113,competitionCount,0
1865113,datasetCount,2635
1865113,scriptCount,27199
1865113,totalCount,29834
1865113,nameNullable,regression
1865113,descriptionNullable,
1865113,fullPathNullable,task > regression
1865113,ref,regression
1865113,name,regression
1865113,hasName,True
1865113,description,
1865113,hasDescription,False
1865113,fullPath,task > regression
1865113,hasFullPath,True
1865113,competitionCount,117
1865113,datasetCount,1045
1865113,scriptCount,5272
1865113,totalCount,6434
376235,nameNullable,military
376235,descriptionNullable,"Datasets and kernels based on historical battles and other military activities including drone attaccks, bombings, and veteran suicides."
376235,fullPathNullable,subject > people and society > law > government > military
376235,ref,military
376235,name,military
376235,hasName,True
376235,description,"Datasets and kernels based on historical battles and other military activities including drone attaccks, bombings, and veteran suicides."
376235,hasDescription,True
376235,fullPath,subject > people and society > law > government > military
376235,hasFullPath,True
376235,competitionCount,0
376235,datasetCount,502
376235,scriptCount,75
376235,totalCount,577
376235,nameNullable,economics
376235,descriptionNullable,"The economics tag contains resources for analyzing the production, consumption, and transfer of wealth."
376235,fullPathNullable,subject > people and society > social science > economics
376235,ref,economics
376235,name,economics
376235,hasName,True
376235,description,"The economics tag contains resources for analyzing the production, consumption, and transfer of wealth."
376235,hasDescription,True
376235,fullPath,subject > people and society > social science > economics
376235,hasFullPath,True
376235,competitionCount,0
376235,datasetCount,2352
376235,scriptCount,587
376235,totalCount,2939
2368258,nameNullable,water sports
2368258,descriptionNullable,
