file_id,dataset_id,file_name,nr_of_rows,nr_of_features
1,23752,countries of the world,227,19
2,1380016,Life expectancy,3253,2
3,1865113,Netflix subscription fee Dec-2021,65,7
4,1865113,netflix price in different countries,65,6
5,376235,Military Expenditure,264,62
6,2368258,olympics_medals_country_wise,156,16
7,806968,holidays_df_of_67_countries_for_covid_19,760,9
8,806968,holidays_df_of_70_countries_for_covid_19,806,9
9,806968,holidays_df_of_70_countries_for_covid_19_2021,1723,9
10,806968,holidays_df_of_70_countries_for_covid_19_2022_Temporary,2598,9
